adm2_name,group,period,H38_bar,H46_bar,S_share,RWI_bar,Haz,Mag,PovScore,HVI,Rank,heat_exposed,screening_class,priority_hazard_gated,rank_hazard_gated,priority_equal_weight_gated,rank_equal_weight_gated
Kitui Rural,u5,2025,0.9597100953685388,0.0,0.0,-0.3781551724137931,0.2223487748103013,8.828524825666724,80.12378092297038,14.78941641229124,164,True,Severe-heat screening priority,14.78941641229124,117,29.724884841149134,91
Suna West,u5,2025,0.3345547530315951,0.0,0.0,0.1369166666666666,0.0775107397562306,19.392592342645887,57.81379283536671,14.532477534964698,174,True,Severe-heat screening priority,14.532477534964698,118,25.76129863925628,127
Sirisia,u5,2025,0.0267162289029119,0.0,0.0,-0.0974285714285714,0.0061897033205979,13.60608906431428,67.964298208802,14.279875787440917,178,True,Severe-heat screening priority,14.279875787440917,119,27.19219232547896,116
South Mugirango,u5,2025,0.0544863668585341,0.0,0.0,0.0247777777777777,0.0126235797386369,16.234577971217487,62.6710129072981,14.27796829631621,179,True,Severe-heat screening priority,14.27796829631621,120,26.306071486084743,122
Kasipul,u5,2025,1.0,0.0,0.0,-0.0477,0.2316832717331342,13.845743891755449,65.81033879575075,14.15269978634247,183,True,Severe-heat screening priority,14.15269978634247,121,26.629255319746445,119
Gem,u5,2025,0.9559114603681184,0.0,0.0,0.1612835820895522,0.2214686946252839,18.19145221832676,56.75835638637206,14.092996905497742,184,True,Severe-heat screening priority,14.092996905497742,122,25.05709243310804,134
Butula,u5,2025,0.1257177629359523,0.0,0.0,-0.0331627906976744,0.0291267026319719,14.094619741319873,65.18066941421188,14.021506020975329,187,True,Severe-heat screening priority,14.021506020975329,123,26.434805286054573,121
Kuria East,u5,2025,0.3363331214889023,0.0,0.0,0.042525,0.0779227579787665,15.627521594648275,61.90230398880492,14.01645959360354,188,True,Severe-heat screening priority,14.01645959360354,124,25.869249447143986,126
Uriri,u5,2025,0.8485624071633718,0.0,0.0,0.1372727272727272,0.1965977147613539,17.384158002918277,57.798370311211904,13.993131690676012,191,True,Severe-heat screening priority,13.993131690676012,125,25.126375342963843,133
Nithi,u5,2025,0.8682162228749628,0.0,0.0,-0.147945205479452,0.2011511750874554,11.156883273147688,70.15239202094483,13.980556931384132,192,True,Severe-heat screening priority,13.980556931384132,126,27.170142156393325,117
Homa Bay,u5,2025,0.1691534078260224,0.0,0.0,-0.0185833333333333,0.039190014949942,14.077548035940374,64.54917008646206,13.927194431973888,196,True,Severe-heat screening priority,13.927194431973888,127,26.221969379117457,123
